,address,pop,hh,lon,lat
913,東京都江戸川区北小岩,29317.0,14531.0,139.881843,35.7332364
914,東京都江戸川区鹿骨町,105.0,43.0,139.883424,35.717256
915,東京都江戸川区鹿骨,15183.0,6687.0,,
916,東京都江戸川区松本,4246.0,1850.0,,
917,東京都江戸川区興宮町,3068.0,1374.0,139.876607,35.722519
918,東京都江戸川区上一色,4384.0,2156.0,139.8705241,35.7241937
919,東京都江戸川区本一色,10990.0,4988.0,139.8678231,35.7193202
920,東京都江戸川区篠崎町,26809.0,12237.0,,
921,東京都江戸川区東篠崎,2730.0,1141.0,139.9038381,35.7060788
922,東京都江戸川区東篠崎町,,,139.916315,35.695168
923,東京都江戸川区南篠崎町,19360.0,8365.0,,
924,東京都江戸川区北篠崎,4331.0,1646.0,,
925,東京都江戸川区上篠崎,9355.0,4389.0,139.9038381,35.7060788
926,東京都江戸川区下篠崎町,2531.0,1211.0,139.9132563,35.6986678
927,東京都江戸川区船堀,27062.0,12672.0,139.864297,35.6838309
928,東京都江戸川区宇喜田町,4247.0,1904.0,139.8631822,35.6762979
929,東京都江戸川区新堀,4533.0,1881.0,,
930,東京都江戸川区東葛西,46896.0,24773.0,139.8726921,35.6636282
931,東京都江戸川区西葛西,47143.0,23447.0,139.8593173,35.6645795
932,東京都江戸川区南葛西,34517.0,15570.0,,
933,東京都江戸川区北葛西,19859.0,8807.0,,
934,東京都江戸川区中葛西,40195.0,22630.0,139.8726921,35.6636282
935,東京都江戸川区堀江町,,,139.8796758,35.6444001
936,東京都江戸川区清新町,14314.0,5891.0,139.8496293,35.6692892
937,東京都江戸川区臨海町,7468.0,3090.0,139.8553609,35.65685
938,東京都江戸川区谷河内,3105.0,1296.0,139.89832519650201,35.703327200000004
939,東京都江戸川区東松本,2941.0,1287.0,139.8817281,35.7176782
940,東京都江戸川区西篠崎,3266.0,1555.0,,
941,東京都八王子市横山町,3041.0,1816.0,139.3370478,35.6598173
942,東京都八王子市八日町,4456.0,2340.0,139.3311285,35.6600766
943,東京都八王子市八幡町,1931.0,1011.0,139.3260185,35.6606481
944,東京都八王子市八木町,870.0,484.0,139.3217211,35.6611004
945,東京都八王子市追分町,1598.0,966.0,139.3181266,35.6606483
946,東京都八王子市千人町,7411.0,4384.0,139.3139627,35.6586961
947,東京都八王子市日吉町,1120.0,615.0,139.3139381,35.6615646
948,東京都八王子市元本郷町,5630.0,2799.0,139.3234026,35.6634981
949,東京都八王子市平岡町,1465.0,788.0,139.3251841,35.6643588
950,東京都八王子市本郷町,552.0,303.0,139.3257789,35.6618779
951,東京都八王子市大横町,944.0,524.0,139.3296346,35.6637675
952,東京都八王子市本町,1825.0,986.0,139.33181,35.662726
